station_id,year_month,NO2_sat
pt_27,2023_10,27.995611
pt_28,2023_10,27.995611
pt_29,2023_10,27.995611
pt_30,2023_10,27.995611
pt_31,2023_10,27.995611
pt_32,2023_10,27.995611
pt_33,2023_10,27.995611
pt_34,2023_10,27.995611
pt_35,2023_10,27.995611
pt_36,2023_10,27.995611
pt_37,2023_10,27.995611
pt_38,2023_10,27.995611
pt_39,2023_10,27.995611
pt_40,2023_10,27.995611
pt_41,2023_10,27.995611
pt_42,2023_10,27.995611
pt_43,2023_10,27.995611
pt_44,2023_10,27.995611
pt_45,2023_10,27.995611
pt_46,2023_10,27.995611
pt_47,2023_10,27.995611
pt_48,2023_10,27.995611
pt_49,2023_10,27.995611
pt_50,2023_10,27.995611
pt_51,2023_10,27.995611
pt_52,2023_10,27.995611
pt_53,2023_10,27.995611
pt_54,2023_10,27.995611
pt_55,2023_10,27.995611
pt_56,2023_10,27.995611
pt_57,2023_10,27.995611
pt_58,2023_10,27.995611
pt_59,2023_10,27.995611
pt_60,2023_10,27.995611
pt_61,2023_10,27.995611
pt_62,2023_10,27.995611
pt_63,2023_10,27.995611
pt_64,2023_10,27.995611
pt_65,2023_10,27.995611
pt_66,2023_10,27.995611
pt_67,2023_10,27.995611
pt_68,2023_10,27.995611
pt_69,2023_10,27.995611
pt_70,2023_10,27.995611
pt_71,2023_10,27.995611
pt_72,2023_10,27.995611
pt_1,2023_11,38.810654
pt_2,2023_11,38.810654
pt_3,2023_11,38.810654
pt_4,2023_11,38.810654
pt_5,2023_11,38.810654
pt_6,2023_11,38.810654
pt_7,2023_11,38.810654
pt_8,2023_11,38.810654
pt_9,2023_11,38.810654
pt_10,2023_11,38.810654
pt_11,2023_11,38.810654
pt_12,2023_11,38.810654
pt_13,2023_11,38.810654
pt_14,2023_11,38.810654
pt_15,2023_11,38.810654
pt_16,2023_11,38.810654
pt_17,2023_11,38.810654
pt_18,2023_11,38.810654
pt_19,2023_11,38.810654
pt_20,2023_11,38.810654
pt_21,2023_11,38.810654
pt_22,2023_11,38.810654
pt_23,2023_11,38.810654
pt_24,2023_11,38.810654
pt_25,2023_11,38.810654
pt_26,2023_11,38.810654
pt_27,2023_11,38.810654
pt_28,2023_11,38.810654
pt_29,2023_11,38.810654
